epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,16.3189,1.5093,3.91448,3.74996,1.48711,0,0.01556,0.4,0.06461,0.04097,0.0062,0.16,0.04056,0.01922,1.34949,2.94051,3.72139,1.36062,0,2.222e-05,2.222e-05,2.222e-05
2,17.7226,1.32121,3.59654,3.76628,1.35573,0,0.01347,0.36,0.16037,0.11567,0.00593,0.16,0.13417,0.08092,1.29929,2.64941,3.69863,1.29481,0,5.50001e-05,5.50001e-05,5.50001e-05
3,19.1223,1.36715,3.36798,3.68391,1.34871,0,0.01309,0.36,0.19624,0.15469,0.00725,0.2,0.18757,0.1233,1.25345,2.37174,3.62468,1.24844,0,8.71202e-05,8.71202e-05,8.71202e-05
4,20.5509,1.30901,3.04196,3.69254,1.29551,0,0.01471,0.4,0.19705,0.15871,0.00741,0.2,0.18757,0.14756,1.1935,2.13842,3.57605,1.18654,0,0.00011858,0.00011858,0.00011858
5,21.8669,1.24791,2.9868,3.49529,1.27627,0,0.01434,0.4,0.20986,0.16973,0.00854,0.24,0.19206,0.1479,1.1833,2.04711,3.57126,1.15883,0,0.000149381,0.000149381,0.000149381
6,24.0317,1.17682,2.71421,3.51624,1.20866,0,0.01399,0.4,0.24736,0.19811,0.01399,0.4,0.23933,0.16424,1.14232,1.93206,3.53836,1.12899,0,0.000179521,0.000179521,0.000179521
7,25.3753,1.26764,2.48186,3.49598,1.22313,0,0.01454,0.44,0.25425,0.21214,0.01454,0.44,0.24868,0.17501,1.07575,1.885,3.50733,1.07823,0,0.000209001,0.000209001,0.000209001
8,26.7264,1.08894,2.41351,3.40762,1.14363,0,0.01361,0.44,0.26529,0.22804,0.01361,0.44,0.26529,0.18706,1.02303,1.87249,3.51812,1.03462,0,0.000237822,0.000237822,0.000237822
9,28.035,1.08415,2.25709,3.3503,1.08764,0,0.0153,0.52,0.27743,0.24759,0.0153,0.52,0.27743,0.19232,1.00241,1.92724,3.47177,0.94223,0,0.000265982,0.000265982,0.000265982
10,29.2674,1.08804,2.16979,3.20987,1.10066,0,0.01395,0.52,0.32061,0.28585,0.01395,0.52,0.3207,0.20415,0.96996,1.98026,3.39121,0.89468,0,0.000293483,0.000293483,0.000293483
