area_ratio,components,method
0.25966796875,2,thermal
0.233544921875,3,thermal_cluster
0.17373046875,196,sam
0.26400390625,3,thermal
0.243095703125,3,thermal_cluster
0.248037109375,159,sam
0.237041015625,7,thermal
0.224912109375,3,thermal_cluster
0.42244140625,232,sam
0.236962890625,7,thermal
0.22560546875,4,thermal_cluster
0.372626953125,177,sam
0.235390625,6,thermal
0.22123046875,3,thermal_cluster
0.38703125,123,sam
0.2373046875,7,thermal
0.2252734375,4,thermal_cluster
0.422724609375,174,sam
0.26123046875,3,thermal
0.244287109375,3,thermal_cluster
0.191025390625,210,sam
0.227236328125,4,thermal
0.21568359375,3,thermal_cluster
0.45498046875,365,sam
0.2615625,3,thermal
0.210087890625,3,thermal_cluster
0.170966796875,235,sam
0.221044921875,2,thermal
0.2105078125,2,thermal_cluster
0.242490234375,16,sam
0.226865234375,4,thermal
0.2156640625,3,thermal_cluster
0.41328125,269,sam
0.236943359375,7,thermal
0.225126953125,4,thermal_cluster
0.403203125,148,sam
0.22806640625,4,thermal
0.21669921875,3,thermal_cluster
0.428544921875,251,sam
0.219541015625,2,thermal
0.2137890625,2,thermal_cluster
0.241923828125,13,sam
0.23578125,6,thermal
0.222998046875,3,thermal_cluster
0.40123046875,86,sam
0.2211328125,3,thermal
0.20869140625,4,thermal_cluster
0.3623828125,145,sam
0.2620703125,2,thermal
0.240537109375,3,thermal_cluster
0.194833984375,187,sam
0.263662109375,3,thermal
0.255166015625,3,thermal_cluster
0.193818359375,200,sam
0.2516796875,6,thermal
0.23982421875,1,thermal_cluster
0.279326171875,94,sam
0.2347265625,4,thermal
0.22052734375,3,thermal_cluster
0.437451171875,170,sam
0.263251953125,2,thermal
0.243095703125,3,thermal_cluster
0.238408203125,169,sam
0.24162109375,3,thermal
0.23658203125,2,thermal_cluster
0.275556640625,44,sam
0.23654296875,7,thermal
0.224677734375,4,thermal_cluster
0.42185546875,132,sam
0.2408203125,1,thermal
0.228896484375,1,thermal_cluster
0.274296875,35,sam
0.22171875,5,thermal
0.211865234375,4,thermal_cluster
0.26490234375,30,sam
0.216552734375,3,thermal
0.212021484375,2,thermal_cluster
0.291953125,49,sam
0.23044921875,4,thermal
0.221474609375,3,thermal_cluster
0.324765625,142,sam
0.270166015625,2,thermal
0.26767578125,2,thermal_cluster
0.318466796875,113,sam
0.14849609375,2,thermal
0.1273046875,3,thermal_cluster
0.217421875,4,sam
0.241025390625,2,thermal
0.230693359375,2,thermal_cluster
0.244580078125,8,sam
0.26033203125,3,thermal
0.2223046875,3,thermal_cluster
0.19396484375,225,sam
0.26263671875,3,thermal
0.241328125,3,thermal_cluster
0.19435546875,194,sam
0.2692578125,2,thermal
0.26658203125,2,thermal_cluster
0.305830078125,120,sam
0.247509765625,2,thermal
0.242001953125,2,thermal_cluster
0.26771484375,8,sam
0.224130859375,2,thermal
0.218525390625,2,thermal_cluster
0.251904296875,37,sam
0.14615234375,4,thermal
0.1390625,4,thermal_cluster
0.21099609375,11,sam
0.239013671875,4,thermal
0.2326953125,3,thermal_cluster
0.397373046875,103,sam
0.23158203125,5,thermal
0.22060546875,3,thermal_cluster
0.3734375,154,sam
0.221669921875,3,thermal
0.209228515625,4,thermal_cluster
0.341484375,163,sam
0.23765625,7,thermal
0.225556640625,4,thermal_cluster
0.413349609375,196,sam
0.23697265625,3,thermal
0.227197265625,3,thermal_cluster
0.260400390625,31,sam
0.223046875,3,thermal
0.2102734375,5,thermal_cluster
0.31900390625,132,sam
0.234873046875,6,thermal
0.221015625,3,thermal_cluster
0.4166015625,96,sam
0.217626953125,2,thermal
0.206884765625,2,thermal_cluster
0.23439453125,26,sam
0.27099609375,2,thermal
0.2685546875,2,thermal_cluster
0.37486328125,98,sam
0.223603515625,2,thermal
0.218837890625,2,thermal_cluster
0.2530859375,46,sam
0.2273828125,4,thermal
0.215947265625,3,thermal_cluster
0.438330078125,310,sam
0.23501953125,4,thermal
0.2207421875,3,thermal_cluster
0.422470703125,106,sam
0.255791015625,4,thermal
0.2437890625,5,thermal_cluster
0.3798046875,196,sam
0.22400390625,4,thermal
0.211982421875,3,thermal_cluster
0.410595703125,305,sam
