epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,86.5715,2.16241,4.02209,1.99021,1.41321,0,0.20854,0.07705,0.06687,0.03449,0.21475,0.07388,0.06316,0.02958,2.58702,4.29077,2.3435,1.58236,0,0.000665455,0.000665455,0.000665455
2,169.609,2.16426,3.74527,1.76355,1.31545,0,0.23136,0.08585,0.0743,0.03909,0.21467,0.08143,0.07217,0.03435,2.39645,3.98599,2.12707,1.40308,0,0.00130575,0.00130575,0.00130575
3,252.086,2.10847,3.66417,1.69805,1.28234,0,0.26741,0.0868,0.07904,0.041,0.26142,0.0821,0.07555,0.03444,2.3963,4.25942,2.02481,1.36299,0,0.00191964,0.00191964,0.00191964
4,334.315,2.08093,3.57991,1.66247,1.25575,0,0.24246,0.09369,0.08508,0.0458,0.24056,0.09186,0.08873,0.04057,2.26641,3.95905,1.94258,1.27436,0,0.0018812,0.0018812,0.0018812
5,415.593,2.0256,3.52573,1.60706,1.2321,0,0.27134,0.09963,0.09074,0.04888,0.24736,0.09626,0.08805,0.03855,2.21143,3.81565,1.84183,1.24764,0,0.0018416,0.0018416,0.0018416
6,497.119,1.98416,3.44341,1.57139,1.21326,0,0.28907,0.09652,0.09442,0.05067,0.27066,0.09324,0.0945,0.04252,2.1784,3.81802,1.7679,1.22848,0,0.001802,0.001802,0.001802
7,578.86,1.96316,3.41895,1.54366,1.19902,0,0.26886,0.11182,0.10123,0.05351,0.25959,0.11049,0.10214,0.04485,2.16205,3.74112,1.76408,1.22708,0,0.0017624,0.0017624,0.0017624
8,660.502,1.95577,3.39808,1.52911,1.19062,0,0.28336,0.11028,0.10296,0.05553,0.24647,0.10163,0.10012,0.0452,2.17113,3.74747,1.76674,1.21389,0,0.0017228,0.0017228,0.0017228
9,743.057,1.93237,3.33208,1.5048,1.17492,0,0.28754,0.11374,0.10762,0.05746,0.24938,0.11741,0.11225,0.05037,2.1285,3.63442,1.67497,1.18195,0,0.0016832,0.0016832,0.0016832
10,826.534,1.91342,3.29465,1.48927,1.16732,0,0.29,0.11653,0.10903,0.05803,0.25369,0.1177,0.11227,0.04887,2.15538,3.50689,1.68144,1.20205,0,0.0016436,0.0016436,0.0016436
