epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,41.3322,0.85426,1.67845,0.80543,1.10565,0,0.89665,0.73978,0.79295,0.58823,0.90774,0.7538,0.81546,0.57785,0.93171,1.32466,0.75344,1.15314,0,0.000665455,0.000665455,0.000665455
2,80.4312,0.80205,1.39948,0.58454,1.04879,0,0.82011,0.76725,0.80941,0.57246,0.78441,0.73632,0.77218,0.56681,0.82799,1.15953,0.58942,1.07154,0,0.00130575,0.00130575,0.00130575
3,118.966,0.74088,1.28706,0.5356,1.02181,0,0.85364,0.77005,0.81403,0.59372,0.86922,0.79144,0.82958,0.60319,0.70981,0.9588,0.5457,0.97597,0,0.00191964,0.00191964,0.00191964
4,157.399,0.69942,1.21676,0.49357,0.99529,0,0.86127,0.78817,0.83791,0.65422,0.83175,0.67345,0.76866,0.57817,0.67014,1.00775,0.55011,0.99195,0,0.0018812,0.0018812,0.0018812
5,195.998,0.66452,1.13982,0.46746,0.98611,0,0.85099,0.84112,0.86994,0.69028,0.95159,0.73853,0.85607,0.65459,0.59382,0.85552,0.47338,0.93152,0,0.0018416,0.0018416,0.0018416
6,234.374,0.62966,1.06815,0.43939,0.97051,0,0.84155,0.83808,0.87037,0.65314,0.93413,0.77046,0.87712,0.62309,0.63519,0.82881,0.44989,0.91282,0,0.001802,0.001802,0.001802
7,272.852,0.59891,1.02919,0.41601,0.95629,0,0.9102,0.83179,0.87429,0.75357,0.92501,0.82811,0.88176,0.68126,0.51814,0.80703,0.43004,0.89466,0,0.0017624,0.0017624,0.0017624
8,311.268,0.58521,0.9926,0.40277,0.94947,0,0.94087,0.81256,0.88298,0.74437,0.95512,0.81379,0.89991,0.70052,0.53083,0.76202,0.41599,0.8819,0,0.0017228,0.0017228,0.0017228
9,349.907,0.55752,0.93285,0.38781,0.93192,0,0.94911,0.80098,0.88038,0.72124,0.94951,0.80873,0.89144,0.65169,0.50968,0.77026,0.3772,0.86207,0,0.0016832,0.0016832,0.0016832
10,388.316,0.56007,0.94009,0.38038,0.934,0,0.91664,0.84919,0.89169,0.7432,0.92684,0.84116,0.89672,0.69289,0.54135,0.75005,0.39621,0.87511,0,0.0016436,0.0016436,0.0016436
11,426.75,0.54364,0.91418,0.36831,0.92607,0,0.96252,0.80271,0.87991,0.73495,0.96473,0.79934,0.87741,0.67767,0.52964,0.75883,0.37632,0.87452,0,0.001604,0.001604,0.001604
12,465.213,0.5283,0.88561,0.36048,0.91809,0,0.94278,0.83841,0.89486,0.74228,0.9116,0.75839,0.82296,0.62896,0.50935,0.66522,0.38555,0.86535,0,0.0015644,0.0015644,0.0015644
13,503.664,0.5285,0.88225,0.35343,0.9227,0,0.92703,0.8758,0.90219,0.78548,0.91676,0.86135,0.90324,0.69651,0.49479,0.7693,0.34429,0.87093,0,0.0015248,0.0015248,0.0015248
14,542.065,0.51362,0.85376,0.3426,0.913,0,0.92373,0.86442,0.90217,0.78156,0.96981,0.81984,0.89371,0.71003,0.44463,0.67116,0.33121,0.84408,0,0.0014852,0.0014852,0.0014852
15,580.55,0.50885,0.8374,0.34132,0.91131,0,0.92747,0.86477,0.90244,0.77833,0.92354,0.87034,0.91185,0.70953,0.43774,0.66096,0.33733,0.83626,0,0.0014456,0.0014456,0.0014456
16,619.039,0.50484,0.82352,0.33833,0.91193,0,0.95677,0.85196,0.90817,0.79354,0.95457,0.84735,0.90358,0.70477,0.42998,0.64946,0.32311,0.83728,0,0.001406,0.001406,0.001406
17,657.588,0.49954,0.81041,0.33231,0.90853,0,0.92219,0.8559,0.89248,0.77158,0.91645,0.85622,0.89147,0.68377,0.43784,0.71507,0.32275,0.83667,0,0.0013664,0.0013664,0.0013664
18,695.991,0.4952,0.81987,0.32888,0.9083,0,0.91979,0.86861,0.90113,0.76912,0.91029,0.81775,0.87516,0.66707,0.42985,0.59524,0.32538,0.83533,0,0.0013268,0.0013268,0.0013268
19,734.374,0.49025,0.79613,0.31848,0.90143,0,0.94615,0.84235,0.90173,0.76818,0.91748,0.81461,0.86106,0.66701,0.42202,0.62271,0.31057,0.82734,0,0.0012872,0.0012872,0.0012872
20,772.882,0.4881,0.78684,0.321,0.90345,0,0.94331,0.86031,0.90809,0.79391,0.95059,0.84944,0.90648,0.71655,0.41148,0.63531,0.29674,0.82329,0,0.0012476,0.0012476,0.0012476
21,811.274,0.4783,0.78127,0.31256,0.89755,0,0.93454,0.87641,0.90962,0.74933,0.85979,0.80771,0.82312,0.64274,0.46538,0.59208,0.30984,0.82439,0,0.001208,0.001208,0.001208
22,849.809,0.46558,0.75387,0.30593,0.89533,0,0.92535,0.87895,0.91099,0.80399,0.91813,0.87434,0.90872,0.73073,0.39744,0.59368,0.30506,0.82852,0,0.0011684,0.0011684,0.0011684
